时间,粉丝数,上涨数量(距上次),上涨率(距上次),上涨数量(距第一次),上涨率(距第一次)
Sun Jan 26 2020 18:04:45 GMT+0800 (中国标准时间),2857296,495,0.00017324071429771363,2347826,0.8216950571449371
Sun Jan 26 2020 17:54:44 GMT+0800 (中国标准时间),2856801,473,0.0001655698104278177,2347331,0.8216641621169973
Sun Jan 26 2020 17:44:44 GMT+0800 (中国标准时间),2856328,411,0.00014389103772395888,2346858,0.821634630196532
Sun Jan 26 2020 17:34:43 GMT+0800 (中国标准时间),2855917,378,0.000132356787679754,2346447,0.8216089613248564
Sun Jan 26 2020 17:24:43 GMT+0800 (中国标准时间),2855539,446,0.0001561876759518956,2346069,0.8215853469345017
Sun Jan 26 2020 17:14:42 GMT+0800 (中国标准时间),2855093,446,0.00015621207435274437,2345623,0.8215574764114514
Sun Jan 26 2020 17:04:42 GMT+0800 (中国标准时间),2854647,470,0.00016464382461299067,2345177,0.8215295971796163
Sun Jan 26 2020 16:54:42 GMT+0800 (中国标准时间),2854177,420,0.00014715275191412445,2344707,0.8215002082912167
Sun Jan 26 2020 16:44:41 GMT+0800 (中国标准时间),2853757,402,0.00014086693436056398,2344287,0.8214739376898593
Sun Jan 26 2020 16:34:41 GMT+0800 (中国标准时间),2853355,446,0.0001563072243026192,2343885,0.8214487857276784
Sun Jan 26 2020 16:24:40 GMT+0800 (中国标准时间),2852909,420,0.00014721815522331766,2343439,0.8214208725199437
Sun Jan 26 2020 16:14:40 GMT+0800 (中国标准时间),2852489,388,0.0001360215587159144,2343019,0.8213945785592863
Sun Jan 26 2020 16:04:40 GMT+0800 (中国标准时间),2852101,410,0.0001437536749224519,2342631,0.821370281066484
Sun Jan 26 2020 15:54:39 GMT+0800 (中国标准时间),2851691,402,0.00014096898997822694,2342221,0.8213445986960017
Sun Jan 26 2020 15:44:39 GMT+0800 (中国标准时间),2851289,409,0.00014344389502432057,2341819,0.8213194102737393
Sun Jan 26 2020 15:34:39 GMT+0800 (中国标准时间),2850880,454,0.00015924907397014254,2341410,0.8212937759568976
Sun Jan 26 2020 15:24:38 GMT+0800 (中国标准时间),2850426,381,0.000133664231241225,2340956,0.8212653126234465
Sun Jan 26 2020 15:14:38 GMT+0800 (中国标准时间),2850045,377,0.00013227861314470474,2340575,0.8212414189951387
Sun Jan 26 2020 15:04:38 GMT+0800 (中国标准时间),2849668,404,0.00014177090103127804,2340198,0.8212177699296901
Sun Jan 26 2020 14:54:37 GMT+0800 (中国标准时间),2849264,393,0.0001379303567517787,2339794,0.8211924202179931
Sun Jan 26 2020 14:44:37 GMT+0800 (中国标准时间),2848871,403,0.0001414595466063574,2339401,0.8211677538224792
Sun Jan 26 2020 14:34:37 GMT+0800 (中国标准时间),2848468,416,0.00014604341702276452,2338998,0.821142452714933
Sun Jan 26 2020 14:24:36 GMT+0800 (中国标准时间),2848052,401,0.00014079799104791627,2338582,0.8211163279322147
Sun Jan 26 2020 14:14:36 GMT+0800 (中国标准时间),2847651,398,0.0001397643180291405,2338181,0.8210911379238537
Sun Jan 26 2020 14:04:35 GMT+0800 (中国标准时间),2847253,421,0.00014786181628397618,2337783,0.8210661293534505
Sun Jan 26 2020 13:54:35 GMT+0800 (中国标准时间),2846832,400,0.00014050706188493034,2337362,0.8210396679537113
Sun Jan 26 2020 13:44:35 GMT+0800 (中国标准时间),2846432,448,0.000157390023720925,2336962,0.8210145192296883
Sun Jan 26 2020 13:34:34 GMT+0800 (中国标准时间),2845984,424,0.00014898186356634472,2336514,0.8209863442661659
Sun Jan 26 2020 13:24:34 GMT+0800 (中国标准时间),2845560,447,0.0001570868300088559,2336090,0.8209596705042241
Sun Jan 26 2020 13:14:33 GMT+0800 (中国标准时间),2845113,445,0.00015640855038095148,2335643,0.8209315412076779
Sun Jan 26 2020 13:04:33 GMT+0800 (中国标准时间),2844668,404,0.0001420200881087002,2335198,0.8209035289882686
Sun Jan 26 2020 12:54:33 GMT+0800 (中国标准时间),2844264,407,0.00014309501509001977,2334794,0.8208780900788394
Sun Jan 26 2020 12:44:32 GMT+0800 (中国标准时间),2843857,412,0.00014487366980829204,2334387,0.8208524549581783
Sun Jan 26 2020 12:34:32 GMT+0800 (中国标准时间),2843445,400,0.00014067442837825244,2333975,0.8208264974353293
Sun Jan 26 2020 12:24:32 GMT+0800 (中国标准时间),2843045,414,0.0001456185181732966,2333575,0.8208012887590594
Sun Jan 26 2020 12:14:31 GMT+0800 (中国标准时间),2842631,404,0.0001421218582362607,2333161,0.8207751903078522
Sun Jan 26 2020 12:04:31 GMT+0800 (中国标准时间),2842227,394,0.00013862369191482593,2332757,0.8207497149242478
Sun Jan 26 2020 11:54:31 GMT+0800 (中国标准时间),2841833,352,0.0001238637175372374,2332363,0.8207248631429082
